feature,dtype,count,missing_count,missing_percentage,unique_count,mean,std,min,q01,q25,median,q75,q99,max,zero_count,zero_percentage,positive_infinity_count,negative_infinity_count,is_constant,is_quasi_constant,dominant_value_percentage,memory_bytes
var_28,float64,200000,0,0.0,35859,5.532979580000001,0.7833672777788737,2.0896,3.774,4.9921,5.5348500000000005,6.0937,7.253404000000004,8.7874,0,0.0,0,0,False,False,0.012,1600000
var_29,float64,200000,0,0.0,88339,5.0538735589999995,2.61594151022476,-4.7872,-0.422104,3.1717,4.9502,6.798925,11.465503000000004,13.1431,0,0.0,0,0,False,False,0.006,1600000
var_30,float64,200000,0,0.0,145977,-7.6877395945,7.965198225263478,-34.7984,-24.63111,-13.766175,-7.41175,-1.44345,7.750704000000004,15.6515,2,0.001,0,0,False,False,0.003,1600000
var_31,float64,200000,0,0.0,77388,10.393045872,2.1598906041093073,2.1406,5.733295,8.87,10.36565,11.885,15.356504000000005,20.1719,0,0.0,0,0,False,False,0.006999999999999999,1600000
var_32,float64,200000,0,0.0,85964,-0.5128855335,2.587829544130026,-8.9861,-5.817101,-2.5008749999999997,-0.49765,1.4691,4.9457,6.7871,2,0.001,0,0,False,False,0.0065,1600000
var_33,float64,200000,0,0.0,112239,14.7741467185,4.3223247855051445,1.5085,5.8628,11.4563,14.576,18.097125000000002,23.904313000000013,29.5466,0,0.0,0,0,False,False,0.0065,1600000
var_34,float64,200000,0,0.0,25164,11.434249708,0.5416141965490789,9.8169,10.247599000000001,11.0323,11.4352,11.8444,12.558701000000001,13.2878,0,0.0,0,0,False,False,0.015,1600000
var_35,float64,200000,0,0.0,122384,3.842499154,5.179558998997714,-16.5136,-7.587814,0.11697499999999993,3.91775,7.487725,14.979,21.5289,2,0.001,0,0,False,False,0.005,1600000
var_36,float64,200000,0,0.0,96404,2.1872295715,3.1199778353195944,-8.0951,-4.726902,-0.007125,2.198,4.4604,8.940301000000002,14.2456,1,0.0005,0,0,False,False,0.0065,1600000
var_37,float64,200000,0,0.0,79040,5.868899321000001,2.249729877448745,-1.1834,1.286299,4.125475,5.90065,7.5424,11.088101000000002,11.8638,0,0.0,0,0,False,False,0.0065,1600000
var_38,float64,200000,0,0.0,115366,10.642130850999997,4.278902835025852,-6.3371,1.736992,7.59105,10.5627,13.598925000000001,20.525305000000007,29.8235,0,0.0,0,0,False,False,0.0045000000000000005,1600000
var_39,float64,200000,0,0.0,112674,0.6629564005,4.068844666306767,-14.5457,-8.3793,-2.1995,0.6723,3.637825,9.360906000000007,15.3223,2,0.001,0,0,False,False,0.005,1600000
var_40,float64,200000,0,0.0,141878,-6.725505203,8.279259190079939,-35.2117,-24.256515,-12.831824999999998,-6.61745,-0.8808750000000001,12.120710000000008,18.1056,0,0.0,0,0,False,False,0.004,1600000
var_41,float64,200000,0,0.0,131896,9.299858001999999,5.938087593002799,-8.5359,-2.141401,4.519575,9.16265,13.7548,23.006702,26.1658,0,0.0,0,0,False,False,0.004,1600000
var_42,float64,200000,0,0.0,31592,11.2223560935,0.6959910936128286,8.859,9.652799,10.7132,11.2434,11.7569,12.622501000000002,13.4696,0,0.0,0,0,False,False,0.0115,1600000
var_43,float64,200000,0,0.0,15188,11.569953900000002,0.3095994237520573,10.6528,10.8797,11.3438,11.565,11.8046,12.2159,12.5779,0,0.0,0,0,False,False,0.0195,1600000
var_44,float64,200000,0,0.0,127702,8.9482887965,5.9030729557361505,-9.9396,-5.7135,5.31365,9.4372,13.0873,21.125301,34.1961,0,0.0,0,0,False,False,0.0045000000000000005,1600000
var_45,float64,200000,0,0.0,169968,-12.699666820500001,21.404911544677237,-90.2525,-57.448521,-28.7307,-12.5472,3.150525,32.697904,62.0844,0,0.0,0,0,False,False,0.0034999999999999996,1600000
var_46,float64,200000,0,0.0,93450,11.326487955999998,2.8605106499241764,1.2062,5.2034,9.24875,11.31075,13.3183,17.952106000000008,21.2939,0,0.0,0,0,False,False,0.0065,1600000
var_47,float64,200000,0,0.0,154781,-12.471737158499998,10.579861528912637,-47.6862,-34.19039,-20.654525,-12.4824,-4.244525,9.083402000000001,20.6854,0,0.0,0,0,False,False,0.0034999999999999996,1600000
var_48,float64,200000,0,0.0,152039,14.704712718500002,11.384331762580283,-23.9022,-9.639423,6.351975,14.5592,23.02865,39.202000999999996,54.2738,0,0.0,0,0,False,False,0.004,1600000
var_49,float64,200000,0,0.0,140641,16.682498702500002,7.855762488129566,-8.0707,0.7012980000000001,10.653475,16.6724,22.54905,34.02660800000001,41.153,0,0.0,0,0,False,False,0.0045000000000000005,1600000
var_50,float64,200000,0,0.0,32308,12.740985916,0.6917090672488033,10.3855,11.1857,12.269,12.7456,13.2345,14.260001,15.3172,0,0.0,0,0,False,False,0.0125,1600000
var_51,float64,200000,0,0.0,143455,13.428911725999999,8.187305899768988,-15.0462,-3.539404,7.267625,13.4444,19.38565,31.892012000000012,40.689,0,0.0,0,0,False,False,0.0034999999999999996,1600000
var_52,float64,200000,0,0.0,121313,-2.5288156159999997,4.985532259550157,-24.7214,-13.662516,-6.065025,-2.50245,0.94435,8.325201000000002,17.0968,2,0.001,0,0,False,False,0.005,1600000
var_53,float64,200000,0,0.0,33460,6.0085688,0.7647529817394473,3.3449,4.418399,5.4356,6.0278,6.5429,7.784,8.2315,0,0.0,0,0,False,False,0.0125,1600000
var_54,float64,200000,0,0.0,144776,1.137116864,8.414241118728755,-26.7786,-16.627507,-5.147625,1.27405,7.401825,18.694302,28.5724,0,0.0,0,0,False,False,0.004,1600000
var_55,float64,200000,0,0.0,128077,12.745851658000001,5.690072147133703,-3.7826,1.7993940000000002,8.1639,12.5941,17.086625,25.523220000000016,29.0921,0,0.0,0,0,False,False,0.0045000000000000005,1600000
var_56,float64,200000,0,0.0,103045,16.629164889,3.5401738815673416,2.7618,8.3142,14.097874999999998,16.64815,19.2897,23.900304000000006,29.0741,0,0.0,0,0,False,False,0.005,1600000
var_57,float64,200000,0,0.0,35545,6.272013516,0.7950261413770903,3.4423,4.620697,5.6875,6.2625,6.845,8.027801,9.1609,0,0.0,0,0,False,False,0.011000000000000001,1600000
var_58,float64,200000,0,0.0,113907,3.1776331530000004,4.296685916972862,-12.6009,-6.188308,0.1835,3.1700999999999997,6.2097,12.823317000000015,20.4833,4,0.002,0,0,False,False,0.005,1600000
var_59,float64,200000,0,0.0,37744,8.9311241245,0.8547981603289942,6.184,7.0985,8.3124,8.901,9.566524999999999,10.769604000000005,11.9867,0,0.0,0,0,False,False,0.0105,1600000
var_60,float64,200000,0,0.0,113763,12.1556182315,4.222389230283812,-2.1006,3.7582950000000004,8.91275,12.06435,15.1165,22.356607000000007,25.1955,0,0.0,0,0,False,False,0.005,1600000
var_61,float64,200000,0,0.0,159369,-11.946744153999997,11.62294817404791,-48.8027,-35.638400999999995,-20.901725000000003,-11.892,-3.22545,14.053190000000084,27.1029,1,0.0005,0,0,False,False,0.003,1600000
var_62,float64,200000,0,0.0,74777,0.8741702705000001,2.026237549584511,-6.3289,-3.410307,-0.5724,0.7947,2.2282,5.787602000000002,7.7536,3,0.0015,0,0,False,False,0.0065,1600000
var_63,float64,200000,0,0.0,97098,0.6611733995,3.1130890250495975,-10.5544,-6.561302,-1.5887,0.6817,3.0203,7.004001000000001,11.2317,1,0.0005,0,0,False,False,0.0055000000000000005,1600000
var_64,float64,200000,0,0.0,59379,6.3691573230000005,1.485853795093742,1.6117,3.026099,5.2935,6.3777,7.4906,9.447902000000003,11.1537,0,0.0,0,0,False,False,0.008,1600000
var_65,float64,200000,0,0.0,108347,0.9828914825,3.786493447947924,-14.0888,-7.487505,-1.7028,1.02135,3.7392,8.869603000000003,15.7313,0,0.0,0,0,False,False,0.005,1600000
var_66,float64,200000,0,0.0,47722,5.794038898499999,1.1213655498134132,1.3368,3.3968,4.9738,5.782,6.5862,8.302302000000003,9.7132,0,0.0,0,0,False,False,0.0095,1600000
var_67,float64,200000,0,0.0,137253,11.943223380999997,7.365115208890987,-19.5443,-4.4972010000000004,6.7532,11.922,17.03765,28.336801,39.3968,0,0.0,0,0,False,False,0.004,1600000
var_68,float64,200000,0,0.0,451,5.018893456,0.0071862678831431425,4.9938,5.0017,5.013999999999999,5.0191,5.0241,5.0341,5.0469,0,0.0,0,0,False,False,0.542,1600000
var_69,float64,200000,0,0.0,110346,-3.3315150864999996,3.955722754935325,-16.3094,-11.405100999999998,-6.336625,-3.3255,-0.498875,5.917304000000004,8.5473,2,0.001,0,0,False,False,0.005,1600000
var_70,float64,200000,0,0.0,153193,24.446811050999997,11.951741643446278,-17.0275,-0.238312,15.256625,24.445,33.63315,48.914414000000015,64.4644,0,0.0,0,0,False,False,0.0034999999999999996,1600000
var_71,float64,200000,0,0.0,13527,0.669755893,0.26669612131408693,-0.2239999999999999,0.1042,0.4723,0.6684,0.8644,1.25,1.5719,1,0.0005,0,0,False,False,0.027,1600000
var_72,float64,200000,0,0.0,110114,0.6405532485000001,3.944702831427355,-12.3834,-7.908804,-2.1971,0.64645,3.5107,9.214619000000019,14.15,2,0.001,0,0,False,False,0.005,1600000
var_73,float64,200000,0,0.0,142582,19.610887772499996,7.466303345873331,-1.6658,3.7510980000000003,14.097275,19.30975,25.207125,35.548027000000026,44.5361,0,0.0,0,0,False,False,0.004,1600000
var_74,float64,200000,0,0.0,161058,19.518845927999998,14.112590694715585,-34.1015,-12.210002000000001,9.595975,19.53665,29.6207,49.52700800000001,70.27199999999999,0,0.0,0,0,False,False,0.0034999999999999996,1600000
var_75,float64,200000,0,0.0,129383,16.853731765,6.055321599453868,-1.2936,2.895184,12.480975,16.8442,21.432225000000003,29.355517000000017,36.1567,0,0.0,0,0,False,False,0.005,1600000
var_76,float64,200000,0,0.0,139317,6.050871454,7.938351253194238,-21.6333,-12.6273,0.5963,6.2978,11.8188,22.780507000000007,34.4352,2,0.001,0,0,False,False,0.004,1600000
var_77,float64,200000,0,0.0,106809,19.066992556,3.81729246439854,7.4257,11.750693,16.0147,18.96785,22.0411,27.075403,30.9569,0,0.0,0,0,False,False,0.005,1600000
var_78,float64,200000,0,0.0,72254,5.349479312500001,1.9937920947549077,-1.8183,1.165397,3.817275,5.44005,6.8672,9.581901,11.3507,0,0.0,0,0,False,False,0.0075,1600000
var_79,float64,200000,0,0.0,53212,14.4021363415,1.3090548713055636,10.4454,11.8088,13.3754,14.38885,15.3831,17.352603000000002,18.2256,0,0.0,0,0,False,False,0.0085,1600000
var_80,float64,200000,0,0.0,136432,5.795043557,7.4367367646596865,-18.0422,-12.419238,0.694475,6.06175,11.449124999999999,20.594514000000014,30.4769,0,0.0,0,0,False,False,0.004,1600000
var_81,float64,200000,0,0.0,79065,14.719023858500002,2.299567114776453,7.5865,9.194399,13.214775,14.8445,16.3408,19.580101000000003,23.1324,0,0.0,0,0,False,False,0.006999999999999999,1600000
var_82,float64,200000,0,0.0,144829,-3.4712732400000004,8.47925519366483,-30.0266,-21.0002,-10.00495,-3.28445,3.101725,14.027701,21.8934,0,0.0,0,0,False,False,0.004,1600000
var_83,float64,200000,0,0.0,144281,1.0258167765,8.297229087055552,-24.2201,-17.7814,-5.1064,1.0697,7.4499,17.693621000000018,27.7143,1,0.0005,0,0,False,False,0.004,1600000
var_84,float64,200000,0,0.0,133766,-2.59020876,6.22530548715494,-24.4398,-15.92051,-7.216125,-2.51795,1.9867,10.779302000000001,17.7424,1,0.0005,0,0,False,False,0.004,1600000
var_85,float64,200000,0,0.0,108437,18.362720644499998,3.908535978882623,7.023,10.337297000000001,15.338574999999999,18.29645,21.35885,26.452102000000004,32.9011,0,0.0,0,0,False,False,0.005,1600000
var_86,float64,200000,0,0.0,140594,5.6210584225,7.75114204809592,-19.2722,-13.195216,0.40755,6.0067,11.158375,21.848218000000017,34.5637,1,0.0005,0,0,False,False,0.004,1600000
var_87,float64,200000,0,0.0,125296,11.351483195500002,5.66186704162101,-8.4816,-0.528201,7.247175,11.288,15.433225,23.804004000000003,33.3541,0,0.0,0,0,False,False,0.0045000000000000005,1600000
var_88,float64,200000,0,0.0,84918,8.702923521499999,2.4914600357447916,1.3502,3.182897,6.918775,8.6162,10.567025000000001,14.000006000000006,17.4594,0,0.0,0,0,False,False,0.006,1600000
var_89,float64,200000,0,0.0,103522,3.7252079275,3.5605535139115423,-9.6014,-3.7712,1.1405,3.64255,6.1462,12.322801000000002,15.4816,0,0.0,0,0,False,False,0.006,1600000
var_90,float64,200000,0,0.0,157210,-16.548147024000002,13.152809532259242,-61.718,-43.697706999999994,-26.6656,-16.4826,-6.409375,10.492602000000002,27.2713,0,0.0,0,0,False,False,0.0034999999999999996,1600000
var_91,float64,200000,0,0.0,7962,6.9875414695,0.1526406617451217,6.5218,6.6785,6.8699,6.9865,7.1014,7.3279,7.4895,0,0.0,0,0,False,False,0.033,1600000
var_92,float64,200000,0,0.0,110743,12.739578443,4.186251603047781,-1.0185,3.8779980000000003,9.6703,12.6735,15.840225,21.733903,26.9976,0,0.0,0,0,False,False,0.005,1600000
var_93,float64,200000,0,0.0,26708,10.556739836999997,0.543341094169985,8.4916,9.211,10.1956,10.5822,10.9449,11.692,12.5343,0,0.0,0,0,False,False,0.016,1600000
var_94,float64,200000,0,0.0,89146,10.999161667,2.7680985484041476,2.819,5.498899,8.828,10.98385,13.0891,17.187401,18.975,0,0.0,0,0,False,False,0.0055000000000000005,1600000
var_95,float64,200000,0,0.0,29387,-0.08434425300000001,0.6211252898563223,-2.4324,-1.414501,-0.5274,-0.0986,0.3291,1.3667,1.804,12,0.006,0,0,False,False,0.013,1600000
var_96,float64,200000,0,0.0,148099,14.400433117,8.525399871814496,-12.1584,-2.7659,7.796950000000001,14.3699,20.819375,33.129707,40.8806,0,0.0,0,0,False,False,0.0034999999999999996,1600000
var_97,float64,200000,0,0.0,158739,18.5396446215,12.642382102731206,-21.74,-7.541809000000001,8.919525,18.50215,28.158974999999998,45.22163000000003,58.2879,0,0.0,0,0,False,False,0.004,1600000
var_98,float64,200000,0,0.0,33266,1.7520119760000001,0.7158356568690984,-0.6035,0.1066,1.267675,1.7683,2.2609,3.295901000000001,4.5028,1,0.0005,0,0,False,False,0.013999999999999999,1600000
var_99,float64,200000,0,0.0,69300,-0.7462960344999999,1.8625496145558535,-7.2806,-4.672303,-2.1062,-0.7713,0.5285,3.740301000000001,5.0764,5,0.0025,0,0,False,False,0.0075,1600000
var_100,float64,200000,0,0.0,150727,-6.6005183245,9.18168275788983,-39.1791,-27.234952,-13.1987,-6.4015,0.1321,12.22341100000001,25.1409,1,0.0005,0,0,False,False,0.0034999999999999996,1600000
var_101,float64,200000,0,0.0,122295,13.4135261765,4.950537095273107,0.0757,2.435487,9.6398,13.38085,17.250225,23.4456,28.4594,0,0.0,0,0,False,False,0.0045000000000000005,1600000
var_102,float64,200000,0,0.0,146237,22.294908152,8.628179372802856,-7.3829,3.008493,16.047974999999997,22.306849999999997,28.682225000000003,40.590603,51.3265,0,0.0,0,0,False,False,0.004,1600000
var_103,float64,200000,0,0.0,9376,1.5683925404999999,0.18501954777285332,0.9793,1.1918,1.4289,1.5659999999999998,1.7054,1.965101000000001,2.1887,0,0.0,0,0,False,False,0.0305,1600000
var_104,float64,200000,0,0.0,72627,11.509834018,1.9705195374905355,4.0846,7.289393,10.0979,11.49795,12.9021,15.9492,19.0206,0,0.0,0,0,False,False,0.0075,1600000
var_105,float64,200000,0,0.0,39115,4.244743821,0.8556979951771038,0.7153,2.391699,3.6396,4.2245,4.8222,6.273301000000001,7.1692,0,0.0,0,0,False,False,0.012,1600000
var_106,float64,200000,0,0.0,71065,8.617657006000002,1.8948986470197895,0.9424,4.382397999999999,7.2823,8.60515,9.9289,12.886010000000008,15.3074,0,0.0,0,0,False,False,0.0075,1600000
var_107,float64,200000,0,0.0,137827,17.796265547500003,7.604722770470246,-5.898,2.166696,12.168075,17.5732,23.3486,34.52571000000001,46.3795,0,0.0,0,0,False,False,0.0045000000000000005,1600000
var_108,float64,200000,0,0.0,8525,14.224435356999999,0.17109118336970988,13.729,13.8177,14.0989,14.2266,14.3618,14.5488,14.743,0,0.0,0,0,False,False,0.1565,1600000
var_109,float64,200000,0,0.0,112172,18.4580011445,4.35503102896825,5.7697,9.059987000000001,15.107175000000002,18.281350000000003,21.8529,27.3814,32.0591,0,0.0,0,0,False,False,0.0055000000000000005,1600000
var_110,float64,200000,0,0.0,106121,5.5132380009999995,3.823253499306621,-9.2398,-2.758401,2.817475,5.3943,8.104325,14.506110000000008,19.5193,0,0.0,0,0,False,False,0.005,1600000
var_111,float64,200000,0,0.0,46464,6.312602914,1.0824040091482032,2.1942,4.0208,5.5101,6.3401,7.0803,8.797002000000003,9.8002,0,0.0,0,0,False,False,0.01,1600000
var_112,float64,200000,0,0.0,60482,3.317843345,1.59116970121631,-2.0302,-0.135002,2.092675,3.4084,4.5774,6.298802000000002,8.4317,0,0.0,0,0,False,False,0.0085,1600000
var_113,float64,200000,0,0.0,116496,8.136541668,4.459077297199589,-5.5139,-1.8614,4.80325,8.14855,11.5962,17.047403000000003,21.5421,0,0.0,0,0,False,False,0.005,1600000
var_114,float64,200000,0,0.0,43084,3.0811911915,0.9853961797001829,-0.0505,0.7859989999999999,2.388775,3.0838,3.8119,5.149102000000002,6.585,0,0.0,0,0,False,False,0.0095,1600000
var_115,float64,200000,0,0.0,86729,2.2137167265000004,2.6218511876950275,-6.8586,-3.7323,0.3997,2.24985,4.1215,7.828401000000001,11.9504,1,0.0005,0,0,False,False,0.0065,1600000
var_116,float64,200000,0,0.0,63467,2.402569659,1.6509121203187858,-3.1630000000000003,-1.1661009999999998,1.171875,2.4563,3.6651,5.764701000000001,8.1207,2,0.001,0,0,False,False,0.0075,1600000
var_117,float64,200000,0,0.0,164469,16.102233313,13.297662296617744,-31.8369,-12.465909,6.3735,15.94485,25.780825,44.684985000000076,64.8109,0,0.0,0,0,False,False,0.004,1600000
var_118,float64,200000,0,0.0,143667,-5.305132363,8.79926814020305,-37.5277,-24.946008000000003,-11.58785,-5.189500000000001,0.9718,13.56910900000001,25.2635,0,0.0,0,0,False,False,0.0045000000000000005,1600000
var_119,float64,200000,0,0.0,112403,3.0328485979999997,4.182795770746563,-9.7742,-5.469001,-0.16197499999999998,3.0239499999999997,6.0984,12.654000000000002,15.6885,1,0.0005,0,0,False,False,0.0055000000000000005,1600000
var_120,float64,200000,0,0.0,158269,24.521077860500004,12.121015905421167,-18.6962,-0.629005,15.696275,24.3547,33.105275000000006,51.81271300000001,74.0321,0,0.0,0,0,False,False,0.0034999999999999996,1600000
var_121,float64,200000,0,0.0,64695,11.3105910735,1.7144163459822424,6.3052,7.807697999999999,9.9964,11.2397,12.619425,14.960101000000002,17.3074,0,0.0,0,0,False,False,0.0075,1600000
var_122,float64,200000,0,0.0,121767,1.1929837195,5.168478732850514,-15.194,-10.315401,-2.5652,1.2007,5.0917,11.9574,18.4714,2,0.001,0,0,False,False,0.0045000000000000005,1600000
var_123,float64,200000,0,0.0,129893,7.076253565,6.147344702482955,-12.4059,-7.727218,2.81705,7.2343,11.73475,19.451518000000018,26.8749,0,0.0,0,0,False,False,0.0055000000000000005,1600000
var_124,float64,200000,0,0.0,91022,4.2727401095,2.736821368383054,-7.0538,-1.9665089999999998,2.3536,4.3021,6.1922,10.200402000000002,14.9915,1,0.0005,0,0,False,False,0.0055000000000000005,1600000
var_125,float64,200000,0,0.0,16059,12.489164999000002,0.31810008947399654,11.4861,11.854899000000001,12.2454,12.4863,12.7181,13.246203000000003,13.6642,0,0.0,0,0,False,False,0.02,1600000
var_126,float64,200000,0,0.0,32411,13.202325819,0.7760555053352279,11.2654,11.5355,12.6084,13.1668,13.8117,14.793201000000002,15.5156,0,0.0,0,0,False,False,0.1525,1600000
var_127,float64,200000,0,0.0,95710,0.851507152,3.13768364091766,-8.8769,-5.951514,-1.502325,0.925,3.293,7.156806000000005,10.5976,2,0.001,0,0,False,False,0.0055000000000000005,1600000
var_128,float64,200000,0,0.0,98200,-1.1279520465,3.238042738716554,-11.7559,-7.909702,-3.580725,-1.10175,1.3517,5.4771100000000095,9.8096,1,0.0005,0,0,False,False,0.0055000000000000005,1600000
var_129,float64,200000,0,0.0,113425,15.4603143455,4.136452521034232,2.1863,6.3652,12.514475000000001,15.4268,18.4804,24.421705000000006,31.2036,0,0.0,0,0,False,False,0.005,1600000
var_130,float64,200000,0,0.0,36638,12.2571508885,0.8321990591552486,9.5283,10.544298,11.6193,12.26465,12.8767,14.116801,14.9895,0,0.0,0,0,False,False,0.011000000000000001,1600000
var_131,float64,200000,0,0.0,21464,0.5446735374999999,0.45628026347046863,-0.9548,-0.4815,0.2078,0.5566,0.901,1.4444,2.1923,15,0.0075,0,0,False,False,0.0165,1600000
var_132,float64,200000,0,0.0,57923,7.799675918,1.456486181512218,2.89,4.568899,6.724375,7.8091,8.911425000000001,10.780602000000002,12.465,0,0.0,0,0,False,False,0.008,1600000
var_133,float64,200000,0,0.0,19236,6.813270463,0.37560349529043785,5.3593,6.0092,6.5435,6.8067,7.0708,7.702501000000001,8.3091,0,0.0,0,0,False,False,0.0195,1600000
var_134,float64,200000,0,0.0,131619,-4.826052546,6.166125904940735,-24.2546,-17.411501,-9.6257,-4.70425,-0.17880000000000001,9.042702000000002,12.7236,3,0.0015,0,0,False,False,0.0045000000000000005,1600000
var_135,float64,200000,0,0.0,140774,-4.2594721635,7.61773240002695,-31.3808,-20.254201000000002,-9.9571,-4.1119,1.12595,13.273403000000004,21.4128,0,0.0,0,0,False,False,0.004,1600000
var_136,float64,200000,0,0.0,156615,22.968601605000003,10.382235181447564,-9.9493,1.8297770000000002,14.9339,22.9483,31.042425,44.25650800000001,54.5794,0,0.0,0,0,False,False,0.003,1600000
var_137,float64,200000,0,0.0,144397,17.613651327499998,8.890515551770275,-9.851,-0.025901999999999998,10.65655,17.25725,24.426025,36.65890400000001,44.4376,0,0.0,0,0,False,False,0.004,1600000
